Age,Income,Credit_Score,Years_Employed,Existing_Loans,Debt_to_Income,Savings,Loan_Amount,Loan_Approved
67,123423,424,40,3,0.65,98289,157598,0
26,123998,366,0,3,0.38,20558,123540,0
43,80128,305,11,4,0.62,83307,48798,0
19,108056,613,0,3,0.06,32104,128293,0
37,41869,625,6,5,0.07,99602,194057,0
45,122468,805,26,1,0.18,54586,252192,1
64,137034,381,40,5,0.21,45420,79396,0
24,25039,301,0,3,0.62,5061,86298,0
61,41281,503,40,1,0.58,34241,137040,1
25,132935,703,0,1,0.51,63055,272944,1
64,30442,402,40,0,0.71,82697,101585,1
52,93788,835,25,4,0.24,71593,140891,1
31,139729,667,0,0,0.73,45173,237611,1
34,47586,511,8,0,0.73,6289,92175,1
53,73053,508,25,5,0.38,66180,51935,0
67,70489,416,35,3,0.12,3221,212679,1
57,103104,777,37,5,0.59,64137,140070,0
21,106346,404,0,3,0.3,43942,46750,0
19,87087,794,0,5,0.65,22635,297657,0
23,32625,345,1,1,0.17,53763,108725,1
59,54397,630,35,3,0.45,85562,22879,1
21,78671,515,0,3,0.43,52072,19316,0
46,136214,791,21,5,0.13,8075,160597,0
35,111785,748,6,2,0.32,23378,272522,0
43,86897,835,24,1,0.11,36084,184741,1
61,46149,810,34,1,0.4,51426,157762,1
51,80030,757,25,2,0.68,80217,235611,1
27,89906,846,2,5,0.25,32584,251818,0
53,25283,835,35,5,0.62,32245,194586,0
31,27610,839,8,1,0.19,59959,217249,1
48,63326,783,19,5,0.56,5983,82383,0
65,34924,315,31,4,0.74,98785,199260,0
32,133143,542,13,4,0.29,97927,222072,0
25,130253,506,0,2,0.73,31897,197872,0
31,96162,570,3,3,0.43,41602,249972,0
40,120297,414,15,4,0.29,86538,42985,0
57,20869,598,25,5,0.72,77034,269669,0
38,117088,782,12,2,0.07,50411,145248,1
33,21014,696,1,4,0.07,69742,219349,0
62,30103,693,38,0,0.5,79466,75423,1
35,102522,374,5,2,0.65,76856,94642,0
64,130317,781,34,1,0.61,94550,85383,1
41,116007,402,23,4,0.11,98353,75013,1
43,53458,596,22,1,0.76,39126,129326,1
42,110605,477,21,2,0.58,93288,284899,1
62,102409,514,40,4,0.76,71043,286752,0
58,43248,614,28,1,0.3,56610,121562,1
46,109160,338,27,3,0.57,24925,64843,1
32,63516,558,0,3,0.69,37276,279870,0
62,49061,306,40,0,0.34,24689,274042,1
18,44170,348,0,5,0.77,64942,88508,0
42,28024,837,22,2,0.25,55146,181756,1
24,102214,460,0,5,0.29,16238,255758,0
26,123792,475,3,5,0.74,61424,180946,0
41,105947,301,21,1,0.78,25807,214290,0
18,63803,754,0,0,0.26,75457,85119,1
61,39296,575,34,2,0.15,12204,162120,1
25,111829,797,0,3,0.62,66245,256987,0
41,112708,327,18,5,0.75,39567,22628,0
28,106664,632,0,1,0.5,36697,97210,0
68,38257,300,40,5,0.53,91429,114093,1
34,32855,487,13,4,0.62,2530,69734,0
25,105178,355,3,3,0.16,97777,75050,0
52,149876,846,31,5,0.78,25297,117726,0
52,121121,411,31,4,0.32,75838,53308,1
50,143324,609,20,4,0.52,49906,220350,0
22,40025,335,0,1,0.4,67251,101428,1
59,24458,738,28,1,0.4,76069,196809,1
56,83610,624,28,4,0.58,61748,229595,0
58,90843,606,39,0,0.8,41295,174455,1
45,127237,833,14,5,0.54,53464,55420,0
24,103961,408,0,4,0.65,8223,150912,0
26,69831,671,0,4,0.07,14421,105680,0
25,63427,656,4,1,0.66,94232,29771,1
29,113809,480,5,5,0.27,15066,286624,0
51,58506,655,18,2,0.15,22576,90555,1
50,25668,367,27,3,0.14,83121,21945,1
65,111470,591,40,1,0.56,3140,16641,1
40,67195,480,21,5,0.8,60016,20232,0
41,93233,765,16,5,0.55,42378,180398,0
54,44417,733,30,0,0.25,8370,212923,1
52,101982,763,21,3,0.2,52750,290399,0
61,126133,833,35,1,0.44,96052,166781,1
57,30751,365,25,1,0.1,13022,236880,1
39,66218,320,10,2,0.35,60222,50832,0
44,146649,683,14,0,0.55,19328,273966,1
52,27352,338,28,0,0.78,3929,256638,0
18,99052,584,0,5,0.37,44727,25893,0
52,108835,635,25,5,0.2,69919,131901,0
54,117493,487,35,1,0.66,53692,281395,0
64,48927,542,33,2,0.61,50545,93106,1
31,61094,372,1,1,0.69,93968,260596,0
20,121948,778,0,4,0.21,77647,90480,0
18,74122,400,0,5,0.35,49338,76215,0
22,49493,813,0,4,0.79,60962,187909,0
43,112247,475,17,2,0.17,98435,44380,1
31,93539,537,1,1,0.55,24161,288349,1
56,51707,358,34,5,0.23,9823,217880,0
44,88814,398,13,2,0.43,93968,203857,0
26,27296,794,4,1,0.65,34089,189426,0
32,45398,813,6,1,0.42,61850,111177,1
32,55842,596,7,4,0.65,22053,224885,0
43,33261,510,19,3,0.37,18447,165100,1
59,96709,422,34,0,0.8,90841,150875,1
30,115985,528,10,5,0.38,4111,83331,0
68,126616,687,36,0,0.16,59820,117745,1
49,76704,439,24,2,0.35,94029,151725,1
56,87173,840,38,0,0.61,77521,25674,1
66,51781,690,40,4,0.69,69622,47345,0
69,33652,569,40,3,0.4,53963,44920,1
49,25103,311,18,5,0.5,53503,168686,0
21,45500,688,0,1,0.68,90000,286112,1
47,135332,636,16,1,0.66,42918,88521,1
54,120336,805,20,4,0.54,72868,124630,0
40,55529,405,7,5,0.66,43542,198220,0
56,133499,331,38,0,0.48,69712,196733,1
62,38452,373,38,1,0.05,3416,284335,1
32,69393,470,4,0,0.08,41436,127033,1
60,51174,368,38,4,0.78,75187,122415,0
46,84450,661,12,1,0.16,11486,247294,1
53,55436,732,25,2,0.35,19695,50252,1
30,67406,399,5,3,0.75,2229,99608,0
49,83059,308,22,0,0.2,68066,148165,1
24,35954,328,0,5,0.68,43347,293169,0
68,102722,413,40,0,0.66,2363,170408,1
39,139747,761,9,0,0.79,83372,292580,0
45,32356,442,18,0,0.26,86824,206512,1
19,148128,689,0,4,0.29,88916,164166,0
59,118499,456,26,4,0.73,46869,199471,0
62,22187,634,40,5,0.23,50729,9509,0
23,97243,559,3,4,0.46,21303,206134,0
45,55098,381,13,5,0.58,73853,190573,0
45,112471,740,26,5,0.25,4264,172007,0
61,41225,471,31,4,0.75,19315,80646,0
61,23606,530,36,1,0.55,79229,127294,1
37,148664,374,3,4,0.09,83102,235716,0
47,77620,569,26,1,0.15,61521,72050,1
28,52828,361,2,2,0.19,25811,153867,0
45,146270,619,13,4,0.23,34405,98148,1
42,46489,401,16,2,0.6,53157,45492,1
56,34387,728,30,4,0.12,60823,87942,1
50,89463,554,19,2,0.31,20856,244854,0
18,91832,831,0,3,0.73,93902,64289,0
44,115980,411,10,2,0.47,47970,9808,0
69,131926,612,39,1,0.25,51787,98991,1
30,132429,760,4,0,0.77,77174,299041,0
58,22591,761,26,5,0.23,87352,82214,0
20,143446,391,0,2,0.73,21598,77304,0
56,130431,351,38,0,0.59,43541,63884,1
23,68516,819,5,3,0.61,11652,237482,0
25,111683,397,3,3,0.62,17963,114265,0
44,82061,535,18,1,0.43,33223,204192,1
26,124425,673,0,1,0.66,32024,9942,1
54,86736,533,31,2,0.68,4941,67681,1
50,101257,331,20,4,0.32,74923,106347,1
68,81753,588,40,3,0.35,75060,12370,1
59,104774,841,27,0,0.72,42617,189006,1
61,31087,413,38,4,0.44,91815,78905,1
41,50816,503,18,3,0.7,55704,90401,0
32,43408,328,11,2,0.52,27025,16551,0
49,144116,773,21,3,0.5,84172,190996,1
49,125276,552,29,1,0.07,44224,59488,1
41,20136,685,21,0,0.26,14277,184669,1
58,37413,361,29,0,0.43,49718,189346,1
69,133650,814,40,1,0.49,41995,122648,1
66,79500,729,40,4,0.52,8539,143969,1
66,104514,836,40,1,0.59,33853,229269,1
69,76358,440,37,0,0.54,27811,234005,1
29,86197,599,0,2,0.69,93464,44819,0
56,120776,610,33,4,0.27,7909,123756,0
19,112789,770,0,5,0.53,94605,223435,0
20,112420,692,0,3,0.09,54433,145854,0
66,52854,744,40,5,0.41,47084,35398,0
54,96240,471,31,2,0.25,74569,292832,1
66,124523,330,37,5,0.34,57816,156105,0
34,149494,346,6,4,0.32,11748,139979,0
66,110063,429,33,0,0.1,71602,172571,1
19,36322,651,0,0,0.4,63465,228376,1
19,133053,357,0,2,0.8,50408,78221,0
45,26968,405,27,5,0.27,12998,144345,0
40,47518,629,20,4,0.6,14764,198491,0
54,71925,682,28,3,0.46,46379,149550,0
49,79848,461,19,5,0.29,82394,212976,0
50,131900,585,19,5,0.12,60588,116925,1
18,113422,370,0,3,0.21,83613,13273,0
36,21700,753,15,1,0.64,63398,182472,1
19,113782,696,0,2,0.26,76793,44708,1
61,121004,814,30,4,0.16,48210,37552,1
43,43199,325,24,2,0.3,45560,187632,1
49,64589,612,31,3,0.49,70201,293574,1
23,52115,425,0,4,0.58,17734,164647,0
49,81934,707,29,0,0.34,75376,63433,1
21,136335,497,0,0,0.42,78598,48436,0
28,140726,487,0,4,0.39,73580,188696,0
34,74316,783,8,2,0.06,3063,169010,1
55,25520,749,29,2,0.35,23313,31358,1
41,129814,822,15,0,0.49,28087,144841,1
22,56455,653,0,0,0.48,46779,104819,1
69,135284,399,39,3,0.61,41181,78728,0
51,106465,577,18,4,0.55,19205,105502,0
23,143364,790,4,2,0.26,13464,284429,1
39,61605,554,8,3,0.24,28132,158359,0
28,34955,680,5,2,0.4,51737,36347,1
65,64049,841,40,0,0.6,70285,242131,1
33,33917,563,8,4,0.12,65549,269210,0
50,90293,628,29,1,0.76,36306,47779,1
26,98581,414,0,4,0.46,26592,232362,0
23,139072,575,0,5,0.28,84987,61112,0
33,84925,787,2,1,0.57,94794,118904,0
46,127216,580,17,3,0.08,45758,115962,1
20,90269,574,0,1,0.41,99392,195104,0
37,50954,627,14,1,0.41,88157,286849,1
53,116671,510,35,3,0.17,7577,243706,1
36,92617,325,7,4,0.68,86230,47125,0
43,61458,326,19,3,0.65,9263,103226,0
20,109037,382,0,5,0.16,83741,50536,0
36,41113,712,10,0,0.32,9072,190142,1
37,119977,466,18,0,0.13,61814,107643,1
49,132622,468,15,1,0.69,46306,251528,0
24,145947,528,0,3,0.29,6691,29810,0
69,110226,666,40,3,0.38,88649,224322,1
58,63939,827,31,3,0.29,2953,130640,1
50,49345,837,21,5,0.28,71499,12388,0
57,144616,823,23,5,0.61,94405,96631,0
56,66313,371,33,4,0.61,77981,266421,0
35,130107,405,15,2,0.44,38759,215530,0
57,141866,581,25,2,0.54,21185,161583,1
18,112365,432,0,2,0.43,74983,194684,1
28,120598,833,5,4,0.07,35699,175296,1
45,89166,568,24,3,0.1,74490,30394,1
42,67861,711,20,2,0.34,54739,229751,1
67,117406,317,40,3,0.61,56631,58269,1
40,69298,416,14,1,0.73,18945,195531,0
48,67221,443,25,2,0.07,39294,72975,1
47,64942,850,17,1,0.33,13920,229571,1
59,23453,721,38,4,0.22,96520,277163,1
52,122811,668,33,0,0.66,54609,289614,1
24,74935,349,3,5,0.68,72096,135752,0
33,142439,405,8,4,0.2,81925,113369,1
43,63370,515,13,4,0.58,63358,115803,0
65,123932,724,38,4,0.6,25265,227957,1
69,28328,371,40,2,0.18,74251,209999,1
66,35534,745,40,1,0.38,85604,165730,1
19,105280,485,0,5,0.52,10438,78905,0
18,104925,369,0,2,0.07,71779,279072,0
65,56320,449,40,0,0.35,29629,244053,1
29,69170,545,1,5,0.17,63442,56243,0
22,120546,837,0,4,0.46,5085,126118,0
54,100201,398,22,3,0.68,83926,183884,0
49,148935,577,18,0,0.44,25513,135218,1
26,141006,754,0,1,0.08,61084,240702,1
58,123401,403,26,0,0.07,87230,160663,1
52,28640,532,26,2,0.5,64605,243404,1
36,120252,693,14,3,0.3,62666,12721,1
65,111057,800,40,2,0.48,81420,162224,1
33,50049,550,5,5,0.17,69412,185529,0
20,25618,820,0,4,0.63,92743,207420,0
37,122540,378,17,4,0.7,52178,287984,0
41,76053,351,20,0,0.72,72092,137280,1
50,21920,525,19,4,0.28,87027,220695,0
41,63937,350,17,4,0.55,39009,6971,0
69,89724,485,40,5,0.26,64976,34795,0
28,32207,333,0,1,0.62,33225,137055,0
66,85774,430,34,1,0.14,39437,147574,1
25,52972,742,1,2,0.62,71935,114267,0
53,30799,731,19,2,0.38,14648,265371,0
55,91088,796,26,1,0.69,97423,203735,1
57,48916,702,26,0,0.6,43936,221631,1
37,90463,622,5,1,0.33,41263,169400,1
52,113500,509,20,2,0.73,49373,47769,1
65,96700,628,40,3,0.26,53814,57084,1
42,57158,671,9,4,0.78,66137,46250,0
52,104607,759,30,5,0.63,88340,236285,0
42,139639,432,23,3,0.79,97455,183939,0
46,133945,420,20,3,0.09,47972,186652,1
35,91696,751,9,4,0.26,29147,153403,0
63,81510,428,40,1,0.61,20295,13572,1
35,140076,390,3,0,0.74,7897,277040,0
19,78692,328,0,3,0.07,77812,38077,0
52,81744,823,34,0,0.05,39253,221406,1
33,35810,632,15,5,0.24,6838,240944,0
58,25126,596,33,5,0.69,83693,121961,0
53,50009,429,20,5,0.63,68680,146336,0
50,119120,592,24,2,0.31,80942,21049,1
21,131718,472,0,3,0.05,27414,213236,0
50,110932,323,28,5,0.47,39748,34236,0
31,20192,398,12,2,0.23,62157,250551,1
38,136464,705,14,5,0.61,30483,244173,0
65,56413,655,38,1,0.38,12513,247863,1
37,32816,438,5,3,0.56,56549,162079,0
25,59082,802,1,2,0.69,45802,277286,0
24,85048,473,2,5,0.45,27451,33498,0
20,143130,328,0,2,0.3,41909,169298,0
34,70940,795,2,5,0.63,49091,45348,0
50,52130,650,23,1,0.25,53389,294668,1
65,60142,598,34,0,0.72,41963,185561,1
29,149564,491,2,5,0.1,55734,151370,0
68,56468,363,34,0,0.68,89208,148207,1
39,50698,514,8,3,0.12,79167,125138,0
39,30655,465,20,1,0.09,66509,77916,1
63,67897,842,30,3,0.32,33291,41788,1
47,50075,531,17,0,0.77,22817,160992,1
55,29359,840,29,1,0.79,77968,67015,1
55,149048,494,31,4,0.2,85487,141715,1
62,122197,805,29,1,0.16,74666,55094,1
68,125115,633,40,1,0.31,89672,152801,1
25,62056,603,0,4,0.3,3559,58046,0
44,71831,736,20,2,0.62,15744,197111,1
44,79191,622,11,2,0.38,32155,16804,1
51,138592,801,25,2,0.63,22021,193939,1
38,141948,692,4,0,0.61,83532,148004,0
47,53272,448,23,1,0.48,57898,185482,1
50,128117,704,22,5,0.68,79723,11487,0
45,34671,582,20,4,0.2,52036,10988,0
64,47048,661,40,5,0.17,54176,32364,1
50,96274,678,21,0,0.61,59399,174475,1
22,45963,497,0,4,0.23,19006,26048,0
65,63954,655,40,5,0.05,82911,143165,1
36,92309,839,12,0,0.73,53434,238980,0
21,122120,728,0,0,0.52,96694,296340,0
52,115430,316,26,0,0.38,65591,27727,1
66,20717,678,36,4,0.59,4069,178239,1
34,31676,805,10,5,0.3,7486,45769,0
61,24434,375,36,5,0.77,84175,135205,0
45,69810,530,11,3,0.1,66389,171146,1
47,123361,547,13,0,0.53,36428,227364,1
46,138696,601,13,2,0.63,29800,146736,1
63,114636,514,40,1,0.4,92154,253446,1
23,24994,457,0,3,0.62,38220,81695,0
52,24234,368,18,3,0.75,57254,149371,0
58,89300,692,28,4,0.61,12869,266982,0
54,63949,384,27,3,0.28,5176,202063,0
41,57405,566,22,5,0.47,37454,194519,0
46,54872,368,27,4,0.73,93016,70498,0
66,62215,646,35,4,0.39,98036,113114,1
63,43185,722,30,2,0.56,71773,49572,1
48,63442,473,24,0,0.4,27453,235888,1
52,143263,414,23,3,0.14,57813,206346,1
50,71759,519,19,0,0.09,67326,40389,1
69,61153,330,40,0,0.76,48595,53263,1
38,97535,822,17,0,0.51,42184,223711,1
49,122023,642,29,4,0.13,53186,240417,0
40,22581,676,22,0,0.69,81290,24984,1
50,71717,429,16,3,0.44,79603,239586,1
20,22763,838,0,4,0.63,17609,207824,0
35,112910,301,2,3,0.15,94517,291413,0
42,75480,400,20,4,0.73,86099,260965,0
59,58759,832,35,1,0.49,75539,14527,1
48,96067,357,17,1,0.6,28068,142016,0
20,138094,688,1,1,0.07,47996,231468,1
57,45307,640,37,1,0.29,62446,38102,1
63,116371,319,29,4,0.25,70759,143741,0
41,31064,554,8,0,0.76,90440,292523,0
67,96848,616,40,2,0.19,37834,122125,1
49,57548,337,17,5,0.58,21746,286335,0
64,56945,836,40,2,0.08,97940,265978,1
39,67937,685,13,1,0.2,22407,149331,1
40,26476,325,17,0,0.3,87229,174030,1
19,71756,753,0,3,0.65,99550,161588,0
44,110101,622,13,0,0.64,88657,40931,1
59,22382,812,28,3,0.76,27403,16624,1
19,69683,312,0,2,0.74,12637,159944,0
43,107999,670,22,0,0.11,9612,129148,1
34,65276,590,2,0,0.67,31410,299935,0
57,53402,631,25,5,0.39,6160,271796,1
50,111881,560,19,2,0.7,61108,227580,0
26,130300,504,8,0,0.12,8728,13095,1
60,46946,686,33,3,0.67,70774,204965,0
65,99698,767,38,0,0.17,93300,275239,1
56,134690,714,29,3,0.3,64594,81216,1
46,132309,368,27,1,0.07,19464,164314,1
59,93933,771,34,0,0.14,32943,31333,1
43,42335,403,25,3,0.38,31838,95075,1
52,65095,460,34,2,0.66,6919,110373,1
67,99930,499,40,1,0.63,38092,154988,1
42,149974,515,18,0,0.23,8797,131394,1
41,47197,511,15,5,0.16,52887,74309,0
30,147619,807,0,3,0.34,89003,64422,1
24,42010,315,2,5,0.71,90272,26045,0
53,44123,797,34,0,0.12,75557,22061,1
62,107923,631,34,3,0.46,4058,214746,1
37,22890,850,7,0,0.12,75577,40742,1
18,113305,555,0,1,0.4,67689,292004,1
25,129162,471,0,1,0.15,78557,261152,0
63,140927,797,40,0,0.11,28258,217511,1
33,28026,770,3,0,0.19,20359,190872,1
31,84925,683,13,4,0.24,92714,230650,0
29,88842,806,2,0,0.26,13914,44212,1
68,53665,826,40,0,0.53,8536,285368,1
40,29277,624,15,5,0.09,56071,72414,0
32,62239,513,9,5,0.11,34748,295682,0
45,67664,507,16,1,0.19,40448,250371,1
51,68008,468,27,5,0.7,47132,250139,0
19,34683,629,0,0,0.52,77022,263188,0
49,20670,579,23,2,0.6,3384,16690,0
40,109211,604,13,0,0.33,45312,277467,1
39,37889,445,12,4,0.21,77323,39146,0
68,75612,815,40,3,0.08,35134,150428,1
42,64535,389,9,1,0.42,84182,81805,0
39,98542,752,21,5,0.48,61120,245582,0
39,74319,359,5,2,0.72,61592,141412,0
66,134072,610,35,3,0.71,72723,178747,0
69,112067,827,35,2,0.37,75031,103756,1
59,41639,526,28,1,0.37,10885,242909,1
23,84712,773,0,5,0.17,19700,5392,0
32,36633,840,6,4,0.24,16018,144209,0
60,141145,378,35,1,0.74,96964,18997,1
54,54660,732,24,2,0.16,95607,89970,1
50,88975,452,16,2,0.78,58061,243538,0
25,52172,700,1,1,0.43,32322,35278,0
61,79197,578,27,0,0.39,51073,167602,1
61,121158,356,40,1,0.18,73650,271938,1
22,78847,485,0,5,0.55,73110,134057,0
56,31577,697,33,5,0.39,25996,76899,1
21,97299,457,2,4,0.33,93290,245671,0
23,40176,658,0,1,0.25,70345,124718,1
62,64386,739,40,3,0.1,47304,82568,1
49,83972,765,27,5,0.44,84086,276592,0
69,140018,745,40,5,0.28,30249,124028,1
47,109791,787,27,5,0.58,87949,24431,0
64,61003,829,31,0,0.59,71223,251740,1
52,39996,372,29,3,0.3,22123,267321,0
57,120922,316,25,1,0.55,34095,117490,1
69,106598,830,37,0,0.24,93971,277370,1
33,55931,625,0,5,0.6,88158,232593,0
30,144168,845,0,3,0.06,76821,123254,1
67,55710,501,38,3,0.16,61185,17231,1
59,143099,643,32,0,0.23,91463,188219,1
47,54693,822,16,5,0.63,54884,19082,0
36,55740,699,17,0,0.1,6291,265907,1
34,97241,517,14,2,0.19,42193,209383,1
36,128944,744,10,5,0.32,4122,150205,0
45,113583,521,17,0,0.06,5876,198949,1
43,96502,682,15,1,0.62,85648,121315,1
54,37374,306,27,5,0.47,75660,158499,0
43,96674,571,12,4,0.73,58147,127511,0
40,136500,315,14,5,0.07,2823,281981,0
26,101471,723,0,2,0.25,53652,226600,0
29,65913,823,3,0,0.6,59204,227104,0
18,143683,320,0,4,0.56,51382,7469,0
18,86025,527,0,2,0.23,11387,53554,0
64,64516,587,36,1,0.5,52175,290005,1
51,107796,433,33,5,0.65,19980,248135,0
49,46069,582,22,4,0.08,25224,114655,0
65,138333,703,40,0,0.59,8121,193684,1
42,76233,365,18,0,0.24,68966,265160,1
57,104811,736,26,1,0.76,74490,171668,1
62,79049,558,40,2,0.45,12881,208080,1
18,121820,402,0,4,0.08,83453,221965,0
33,138028,400,10,1,0.35,84176,224653,1
56,59178,497,23,2,0.77,51809,124645,0
22,52821,525,0,3,0.6,78621,77100,0
39,71727,762,12,3,0.28,92795,268480,0
46,80935,536,14,2,0.48,24097,48316,1
20,36999,325,0,0,0.5,3978,183989,0
29,82522,420,10,0,0.07,5332,121513,1
43,58712,805,14,3,0.18,86573,7768,0
33,84551,481,4,0,0.46,16089,200149,0
68,60172,842,35,0,0.35,57804,246983,1
54,53722,614,31,2,0.19,65752,32634,1
39,30625,572,19,5,0.63,24484,185668,0
46,87165,531,27,2,0.42,61408,189605,0
31,96509,719,9,0,0.28,80544,228402,1
45,26859,741,17,2,0.17,55018,254800,1
22,61609,795,2,4,0.51,19148,131486,0
64,63307,323,40,3,0.55,4830,23211,1
66,130986,408,40,5,0.55,69494,59711,1
47,121582,801,19,4,0.22,26998,224763,0
63,41839,324,40,4,0.5,68076,75047,1
69,47216,486,39,0,0.73,31677,249016,1
22,72953,587,0,0,0.31,30101,183841,1
29,104481,637,2,4,0.21,8053,133013,0
33,80593,336,14,4,0.63,6670,229121,0
43,92075,436,22,1,0.18,11281,229895,1
43,69522,807,22,1,0.24,84658,13532,1
65,119161,526,39,3,0.13,54341,280035,1
38,24886,619,5,4,0.25,69069,268640,0
56,131249,481,33,2,0.36,11756,282298,1
53,27485,385,32,5,0.1,66075,81682,0
50,51455,766,24,1,0.7,55421,63475,0
47,131984,352,17,0,0.44,61108,141522,1
54,36767,534,28,4,0.49,66323,173475,0
40,132701,732,17,2,0.33,91610,219724,1
27,48453,795,0,5,0.55,85338,32289,0
22,96280,399,0,2,0.37,93858,191751,1
53,122638,702,33,2,0.62,18048,277325,1
51,73442,695,29,0,0.67,53606,206318,1
69,71877,826,38,1,0.55,10876,243055,1
48,32226,714,15,2,0.42,59075,295539,1
27,113405,762,0,5,0.64,16171,84036,0
36,42588,840,10,1,0.42,43204,71920,1
49,98976,663,17,3,0.13,6166,116440,1
18,51709,429,0,0,0.14,76902,21652,0
22,67788,383,0,1,0.76,86794,90837,1
62,108031,570,39,1,0.21,44734,276860,1
21,57019,543,0,2,0.66,79519,20568,0
33,64948,687,8,5,0.24,92251,205879,0
41,85133,513,22,2,0.37,97621,84792,1
33,134444,465,8,5,0.54,65441,226793,0
19,86458,358,1,0,0.17,46078,291296,1
66,137603,803,32,1,0.6,28778,165072,1
45,47526,422,23,4,0.57,77926,32973,0
49,93493,712,16,5,0.46,21924,116036,0
44,148585,438,20,5,0.47,46832,42861,0
37,72198,528,13,2,0.13,67243,142510,1
41,134100,573,22,2,0.38,26048,148801,1
29,143854,738,0,3,0.11,33815,231170,0
67,119534,417,36,5,0.28,35682,93094,0
52,63395,782,26,0,0.73,18489,47711,1
50,44031,694,19,1,0.48,60234,131478,1
50,95542,759,28,1,0.61,58701,105637,1
68,145814,377,40,1,0.48,17951,107690,1
60,57701,711,35,5,0.2,51018,83191,0
54,132599,374,32,2,0.5,12452,191922,1
29,45939,594,1,0,0.62,29635,209967,0
20,69145,320,0,1,0.15,99283,150244,0
18,40324,470,0,5,0.66,28933,262961,0
50,42867,314,29,4,0.47,35581,125574,0
57,20203,510,25,3,0.05,39281,151601,1
27,36544,385,8,3,0.44,22187,110218,0
60,35899,448,26,1,0.35,23953,45281,1
61,49063,671,32,2,0.27,34818,63235,1
46,110880,779,12,3,0.63,25702,280020,0
30,23748,450,3,3,0.72,7278,210364,0
29,125022,440,0,3,0.62,45566,138931,0
48,137269,368,17,3,0.69,60722,292021,0
63,86629,559,30,1,0.73,19036,144372,1
19,100764,820,0,5,0.73,25583,7412,0
68,40884,670,34,0,0.14,71244,215413,1
67,45183,718,40,0,0.39,10476,272948,1
52,101570,400,23,2,0.05,71854,58675,1
40,91246,542,21,5,0.43,95805,265463,0
34,128036,811,7,4,0.74,39627,90733,0
43,39259,394,21,0,0.2,46441,17392,1
25,55959,525,5,4,0.53,25754,156101,0
46,136525,817,16,0,0.53,65751,70263,1
43,53457,513,14,0,0.17,20979,32097,1
27,105679,366,7,2,0.23,71446,106721,0
43,145829,695,20,3,0.4,62161,152467,1
51,148216,311,20,2,0.19,37022,67088,1
68,22103,536,40,0,0.49,64257,221137,1
58,85901,698,28,5,0.41,5453,284402,0
24,132314,706,4,3,0.44,52575,228617,0
21,64535,779,0,5,0.15,58260,143375,0
67,36103,521,34,5,0.44,87717,251643,0
62,118046,455,40,5,0.09,89901,279321,1
28,110012,727,0,3,0.71,92862,258470,0
46,98278,457,25,5,0.31,41705,26823,0
53,32391,715,35,3,0.69,56833,215790,1
42,122476,625,23,4,0.58,55029,110312,0
38,48901,670,8,0,0.62,5177,83812,1
53,140721,643,23,1,0.29,69965,16963,1
